12662211,4.89,19.31,0.05,1.91,0.000359,0.24
863411,265.38,342.4,14.9,25.28,0.002,2
1001311,192.58,95.37,29.97,151.84,0.41,575.54
1018911,586.13,1762.7,5769,1294.52,0.0582,53.7
1031011,15.06,40.24,4.57,25.55,0.009,0.17
1036811,400.06,4692.2,29954.5,215.15,0.0867,288.68
10633711,2584.72,1607.42,1156.26,573.62,0.04,14.79
12672011,49.32,33.94,3.85,48.72,0.0074,1.1
14437311,5.83,46.77,0.39,1.38,0.000116,0.0775
7212111,25.64,48.88,5.47,36.43,0.0075,0.0223
7213311,36.36,15.13,1.35,84.7,0.000322,0.21
7440111,2409.73,1240.44,949.92,372.66,0.012,0.25
7441011,1382.59,1138.61,4885.91,438.25,0.0408,22.27
7441411,177.85,187.17,431.45,40.32,0.000368,25.52
888611,111.3,267.8,226.8,17.34,0.004,3.58
985711,3792.23,121.71,7951.06,50.18,2.4,15.54
10642711,11.81,24.29,0.0732,0.99,8.06e-05,0.00137
1083511,89.91,75.83,4.14,126.5,0.0083,1.4
1083811,186.64,106.76,6.3,61.61,0.00787,0.81
14433811,171.4,1327.79,11.58,37.58,0.00316,2.11
14435911,3.32,29.88,0.22,0.77,6.45e-05,0.043
15527111,0.33,2.65,0.0221,0.0731,6.15e-06,0.0041
16157411,1.41,2,0.16,14.73,1.16e-05,1.09e-05
863911,48.4,17.73,2.01,52.91,0.004,0.93
975911,171.29,87.08,3.76,112.53,0.00632,3.4
13414411,208.89,211.97,66.24,80.6,0.0204,0.95
15624411,9.45,67.08,1.03,6.39,0.000366,0.38
862811,299.3,4558.29,3920.39,276.28,0.0257,75.69
863211,556.44,1634.27,9.21,192.76,0.0127,39.48
972811,19.21,157.52,0.14,177.86,0.000114,0.12
977911,138.86,1750.19,2193.31,112.87,0.00674,0.26
10090511,0.00378,0.0045,0.000128,0.00644,3.42e-08,3.35e-06
10389311,7.73,0.96,0.15,1.45,3.92e-05,3.82e-06
1157911,1.96,7.86,0.13,1.39,0.000124,1.98e-05
1175011,0.0715,0.0957,0.000201,0.00679,5.76e-08,4.84e-05
13703411,4.1,0.97,0.5,0.51,5.05e-05,0.000778
13708511,28.73,24.66,3.03,2.63,0.000126,0.0162
13865911,252.2,14.46,0.42,9,1.67e-06,1.32e-07
13877811,0.33,0.41,0.0554,0.15,1.49e-05,0.0012
1397411,0.0168,0.02,0.00012,0.00152,1.14e-07,0.000125
14046611,8.06,4.71,0.0556,0.9,6.18e-05,5.71e-05
14079011,7.22,12.1,0.0526,0.66,6.51e-05,0.0453
14119211,3.13,0.34,0.3,0.8,8.01e-05,6.38e-06
14447111,0.46,3.54,0.0309,0.1,8.42e-06,0.00562
14455311,33.78,261.7,2.28,7.41,0.000623,0.42
14456011,17.3,134.03,1.17,3.79,0.000319,0.21
14457811,14.75,114.24,1,3.23,0.000272,0.18
14466211,14.7,113.88,0.99,3.22,0.000271,0.18
14477911,55.92,433.23,3.78,12.26,0.00103,0.69
1462911,8.09,2.23,0.14,0.4,3.89e-05,9.53e-07
1463811,16.66,5.26,0.71,12.31,1.41e-05,6.31e-06
15664811,118.68,17.84,2.97,4.75,0.000441,0.83
