0,87.4,52762,85.4,28.2
1000,94.4,42934,81.9,22
1001,91.8,53899,86.5,21.6
1003,114.6,51321,87.9,27.2
1005,31,34041,72.4,13.9
1007,36.8,40506,75.9,9.8
1009,88.9,45404,73.2,11.3
1011,17.5,31955,72,14.4
1013,27,31273,74.7,12.4
1015,195.7,39467,77.9,15.8
1017,57.4,32186,74.2,10.5
1019,46.9,37833,73.5,11.3
1021,63,40418,74.8,12.4
1023,15.2,32188,73.6,10.5
1025,20.9,29668,78.1,13.2
1027,23.1,35410,72.8,9.1
1029,26.7,38785,73,9.4
1031,73.6,42065,80.2,21.3
1033,91.8,40247,80.8,17.4
1035,15.6,27977,72.7,11.6
1037,17.7,37191,76.2,9.5
1039,36.6,33544,76.6,12.9
1041,22.8,38041,76.1,11.6
1043,109.4,38703,76.6,14.2
1045,89.6,45491,83.1,17.6
1047,44.8,26909,76.2,13.6
1049,91.5,36853,70.3,10.7
1051,128.2,54831,84.9,21.2
1053,40.5,31638,73.7,11.8
1055,195.2,37772,81.7,15.3
1057,27.5,33378,74.6,10.9
1059,50,35831,71.6,11.4
1061,46.6,35237,74.6,10.3
1063,14,23004,73,10.6
1065,24.5,29236,71,10
1067,30.8,39948,76.4,14.8
1069,175.1,41766,82.9,18.8
1071,49.4,36383,74.4,13.5
1073,592.5,45750,86.7,29
1075,24.1,34711,76.3,9.4
1077,138.8,39702,82.9,21.6
1079,49.7,40009,77.7,12.3
1081,230.8,42320,85.5,31.2
1083,147.8,47199,80.4,21.1
1085,15.8,27905,74.3,13.7
1087,35.2,29355,78.9,21.1
1089,417.7,57453,88.9,37.4
1091,21.5,35165,80.9,17.8
1093,41.5,31799,69.2,8.5
1095,164.4,38563,74.5,15.2
1097,335.9,42187,82.9,20.1
1099,22.5,29849,75.4,10.4
1101,292.5,44587,84.6,31.2
1103,206.3,45564,81.9,19
1105,14.7,27222,71.7,12.6
1107,22.4,29096,77,10.3
1109,48.9,31179,79.9,23.4
1111,39.5,35823,71.2,12.2
1113,82.6,33754,77.4,12.6
1115,132.3,49200,79.9,14.6
1117,248.5,68883,91.4,40
1119,15.2,21964,75.4,13.6
1121,111.7,36609,76.6,12.3
1123,58.1,39423,77.6,17.1
1125,147.3,43538,85.3,26
1127,84.7,37161,76,10
1129,16.3,40286,80.7,10.1
1131,13.1,23750,72.4,12
1133,39.9,32557,70.9,11.5
2000,1.2,69014,91.4,27.2
2013,0.4,57083,80,17.8
2016,1.3,75179,78.9,11.1
2020,171.2,75485,92.1,32.3
2050,0.4,52063,79.2,12.5
2060,2,80000,91.2,19.6
2068,0.1,82898,90.8,24.2
2070,0.3,57681,82.4,19.2
2090,13.3,68922,93,27.7
2100,1.1,51667,95,31.6
2105,0.3,49545,90.1,27.9
2110,11.6,77465,95.9,36.4
2122,3.4,59256,92.4,23.1
2130,2.8,57243,93,24.6
2150,2.1,66326,91.2,24.5
2164,0.1,51429,86.5,19.8
2170,3.6,70343,92.3,20.9
2180,0.4,52435,83.8,15.7
2185,0.1,76667,82.9,17.6
2188,0.2,59893,79.5,12.2
2195,1.2,64216,94.6,24.2
2198,1.4,45513,88.6,16.1
2220,3.1,69798,92.9,34.7
2230,2.1,73000,95,28.8
2240,0.3,59917,91.8,20.8
2261,0.3,62238,91.6,24.5
2270,0.4,39583,74.6,6.9
2275,0.9,50000,90.4,19.3
2282,0.1,74844,93.8,25.8
2290,0,35335,79.7,10.1
4000,56.3,50752,85.2,26.4
4001,6.4,31011,73.1,10.1
4003,21.3,45906,85,21.9
4005,7.2,49615,86.8,31.5
4007,11.3,37905,84.1,15.5
4009,8.1,43083,82.6,14.4
4011,4.6,49390,86.4,11.9
4012,4.6,32220,75.4,9.3
4013,414.9,55099,85.8,29.1
4015,15,40573,83.9,12.2
4017,10.8,38975,80.4,14.3
4019,106.7,46341,87,29.5
4021,70,51212,84.5,18.1
4023,38.3,38092,71.2,18
4025,26,44084,89.8,24.2
4027,35.5,41441,71.9,13.9
5000,56,40149,82.7,19.6
5001,19.2,38986,80.8,13
5003,23.6,35657,81.6,12.5
5005,74.9,35589,85.3,14.9
5007,261.2,52159,85,27.6
5009,62.5,37703,84.7,14.2
5011,17.7,32337,73.8,11.4
5013,8.5,30625,79.6,6.7
5015,43.6,36031,80.4,17.1
5017,18.3,23954,70.7,13.2
5019,26.6,32998,84.1,22.3
5021,25.2,31135,74.5,9.3
5023,46.9,38510,81.5,16.3
5025,14.5,34292,85.5,14
5027,32.1,36163,84.4,20.5
5029,38.5,31890,82.3,14
5031,136.4,40221,84.1,23.7
5033,104.4,40409,78.9,13.2
5035,83.5,35264,77.2,13.5
5037,29,38432,77.8,12
5039,12.2,30011,80,12.7
5041,16.9,30786,75.5,13.4
5043,22.3,32038,81.9,19.8
5045,174.8,47649,87.6,25.9
5047,29.8,34819,83.7,12.4
5049,19.8,33281,81,11.5
5051,141.7,38210,85.1,20.6
5053,28.3,50927,84,15.1
5055,72.9,39090,82.2,12.1
5057,31.1,34885,80.5,14.5
5059,53.5,38188,81.2,12.3
5061,23.4,37146,77.1,12.7
5063,48,34878,81.5,13.2
5065,23.6,31865,80.1,12.7
5067,28.4,31352,75.3,8
5069,88.9,37682,82.6,16.9
5071,38.7,31400,76.4,16
5073,14.5,30152,77.6,12.8
5075,29.6,32337,75.8,9.4
5077,17.3,25270,68.7,6.5
5079,25.2,31480,70.9,9
5081,24.7,38564,82.1,12.5
5083,31.6,38447,78.2,11.2
