100,Indian River,FL,274.5,11.5,46363,86.9,26.4
101,Jackson,FL,54.2,7.6,39869,79.1,13.6
102,Jefferson,FL,24.7,7.9,42096,81,15.5
103,Lafayette,FL,16.3,7.9,49713,81.8,10.3
104,Lake,FL,316.6,9.4,47509,87.1,20.1
105,Lee,FL,788.7,9.4,49444,87,24.6
106,Leon,FL,413.1,8,45827,91.2,43.1
107,Levy,FL,36.5,10.1,35920,80.7,12.2
108,Liberty,FL,10,7.6,40893,73.2,13.2
109,Madison,FL,27.6,10.6,36557,76.2,10.9
110,Manatee,FL,434.5,9,48181,86.7,26
111,Marion,FL,209.1,10.3,40103,84.8,16.8
112,Martin,FL,269.2,9,53612,88.7,29.9
113,Miami-Dade,FL,1315.5,10.1,43957,77.6,26.2
114,Monroe,FL,74.3,5,53889,89.3,27.8
115,Nassau,FL,113,7.5,58933,86.6,21.8
116,Okaloosa,FL,194.4,6.3,54140,90.7,26.9
117,Okeechobee,FL,52,10.9,36929,69,10.1
118,Orange,FL,1268.5,8.7,49731,86.9,30
119,Osceola,FL,202.4,9.5,46479,84.2,18
120,Palm Beach,FL,670.2,9.2,52951,87.1,32.2
121,Pasco,FL,622.2,10.2,44103,86.6,19.7
122,Pinellas,FL,3347.5,8.8,45891,88.3,27
123,Polk,FL,334.9,10.3,44398,82.1,18
124,Putnam,FL,102.2,11.6,34174,77.7,12.5
125,St Johns,FL,316.4,6.9,64153,92.5,39.3
126,St Lucie,FL,485.7,11.8,44947,83.2,17.9
127,Santa Rosa,FL,149.6,8.3,55913,89.3,25.6
128,Sarasota,FL,682.6,8.7,49212,91.1,29.3
129,Seminole,FL,1367,8.3,58908,91.1,34
130,Sumter,FL,170.8,7.5,44817,85.5,20
131,Suwannee,FL,60.3,8.1,37775,80.7,10.1
132,Taylor,FL,21.6,9.4,38005,77.7,10.8
133,Union,FL,63.8,7.8,45645,76,10
134,Volusia,FL,449.2,9.1,44169,87.5,20.8
135,Wakulla,FL,50.8,7.5,54151,86.5,17.3
136,Walton,FL,53,5.3,46926,86.2,24.9
137,Washington,FL,42.7,10,37036,79.8,12.3
138,Appling,GA,36,11.2,34989,75.1,9.3
139,Atkinson,GA,24.7,14.1,32814,64.9,8.3
140,Bacon,GA,42.9,10.3,32065,71.9,8
141,Baker,GA,10.1,9.8,27255,81.3,9.7
142,Baldwin,GA,177.3,12.2,36429,81.3,19
143,Banks,GA,79.3,6.9,41397,75.2,11.1
144,Barrow,GA,432.7,8.7,50604,79.5,16.1
145,Bartow,GA,217.9,9.4,49060,79.5,16.7
146,Ben Hill,GA,70.5,13.5,31943,73.2,12.3
147,Berrien,GA,42.7,10.6,32512,72.2,11.3
148,Bibb,GA,622.8,10.4,37975,81.5,22.6
149,Bleckley,GA,60.5,14.3,35997,75.3,12.3
150,Brantley,GA,41.6,11.6,38374,76.9,4.6
151,Brooks,GA,32.9,8.4,40186,79.1,13.9
152,Bryan,GA,69.3,7.9,64651,87.8,29
153,Bulloch,GA,104.4,11.5,33902,85.8,26.3
154,Burke,GA,28.2,12.5,32188,76.5,9.1
155,Butts,GA,128.3,11.1,49339,76.3,8.1
156,Calhoun,GA,23.9,11.4,32986,66,9.3
157,Camden,GA,82.4,9.4,51061,89.3,20.3
158,Candler,GA,45.3,10.8,37315,78.2,15.4
159,Carroll,GA,221.5,10.3,45752,79.7,18.4
160,Catoosa,GA,394.3,7.3,46549,82.7,17.8
161,Charlton,GA,15.7,12.1,42307,65.5,8.7
162,Chatham,GA,621.7,9.1,45985,88,29.6
163,Chattahoochee,GA,45.3,20.2,49969,93.6,28.4
164,Chattooga,GA,83,10.8,32224,68.2,7.8
165,Cherokee,GA,508.3,7.5,66717,89,33.6
166,Clarke,GA,979.1,7.9,34151,84.9,40.7
167,Clay,GA,16.3,9.9,24750,76.9,9.5
168,Clayton,GA,1832.5,11.6,42936,82.1,17.8
169,Clinch,GA,8.5,11,33143,69.2,13.9
170,Cobb,GA,2026.4,8.6,65423,90.5,44
171,Coffee,GA,73.7,13.5,34327,73.6,11.8
172,Colquitt,GA,83.6,9.5,33345,71.7,11.9
173,Columbia,GA,427.6,7.5,66556,90.6,34.3
174,Cook,GA,75.8,11.4,35306,71.9,9.9
175,Coweta,GA,288.8,9.1,61015,87.2,26.2
176,Crawford,GA,38.9,10.5,37746,77.9,11.7
177,Crisp,GA,86,12.3,32616,76.2,11.5
178,Dade,GA,95.6,8.4,41629,80.3,17.6
179,Dawson,GA,105.9,8.3,51989,85.5,21.9
180,Decatur,GA,46.6,11.4,31391,77.2,12.2
181,De Kalb,GA,2585.7,9.5,51712,88.3,39.3
182,Dodge,GA,44,12.3,33829,77.8,13.6
183,Dooly,GA,38.1,13.3,30830,71.4,10.2
184,Dougherty,GA,287.7,11.3,32364,80,18.6
185,Douglas,GA,661.8,9.7,54763,86.3,24.2
186,Early,GA,21.5,8.8,27645,76.2,13.5
187,Echols,GA,9.7,8.3,29476,62.7,6.9
188,Effingham,GA,109.4,8,58935,85.3,15.8
189,Elbert,GA,57.4,12.1,32634,75.8,11.4
190,Emanuel,GA,33.2,12.1,30427,73.5,10
191,Evans,GA,60.2,9.1,38000,75.9,12.7
192,Fannin,GA,61.2,10,34554,78.3,14.8
193,Fayette,GA,548.3,8.5,81498,93.5,41.7
194,Floyd,GA,188.9,10.3,43129,76.8,18.1
195,Forsyth,GA,783.5,7.1,88262,90.6,42.8
196,Franklin,GA,84.5,11.3,33086,73.5,14
197,Fulton,GA,1748,10.2,57582,90.1,48.1
198,Gilmer,GA,66.3,10.4,37091,75.5,14.3
199,Glascock,GA,21.4,11.9,36275,73.8,9.9
200,Glynn,GA,189.7,9.7,49828,86.1,25.9
201,Gordon,GA,155.1,10.5,41336,74.3,13.6
202,Grady,GA,55,7.9,32091,73.6,10.5
203,Greene,GA,41.3,9.8,38209,74,18.7
204,Gwinnett,GA,1871.2,8.3,63076,87.1,34.7
205,Habersham,GA,155.5,9.2,41222,76.7,18.1
206,Hall,GA,457.5,7.9,52050,78,22.1
207,Hancock,GA,20,17.5,24483,74.8,13.8
208,Haralson,GA,102,10.5,38664,71.2,12
209,Harris,GA,69,8.1,67299,88.9,27.7
